code,species
wlswar,Wilson's Warbler
gnwtea,Green-winged Teal
soupoc1,Southern Pochard
leater1,Least Tern
dickci,Dickcissel
plasof1,Plain Softtail
rinduc,Ring-necked Duck
aswant1,Ash-winged Antwren
fitawl1,Fiery-tailed Awlbill
westan,Western Tanager
whrswa1,White-rumped Swallow
tumswa1,Tumbes Swallow
rettro,Red-tailed Tropicbird
slcant3,Slate-colored Antbird
amhgul1,American Herring Gull
pedpet1,Peruvian Diving-Petrel
bongul,Bonaparte's Gull
ruff,Ruff
lsspet,Least Storm-Petrel
bucsap1,Blue-chinned Sapphire
colgna1,Collared Gnatwren
dunlin,Dunlin
wbspet1,White-bellied Storm-Petrel
chisku1,Chilean Skua
flfshe,Flesh-footed Shearwater
blugrb1,Blue Grosbeak
ribgul,Ring-billed Gull
rubnun1,Rusty-breasted Nunlet
dutfla1,Dusky-tailed Flatbill
yeetou1,Yellow-eared Toucanet
retpip,Red-throated Pipit
goupet1,Gould's Petrel
leasee1,Least Seedsnipe
btbwar,Black-throated Blue Warbler
shtsan,Sharp-tailed Sandpiper
hootan1,Hooded Tanager
yeepar1,Yellow-eared Parrot
ameavo,American Avocet
cursan,Curlew Sandpiper
soasni2,Pantanal Snipe
dafgrt1,Dark-faced Ground-Tyrant
cedwax,Cedar Waxwing
dovpri1,Antarctic Prion
indbun,Indigo Bunting
bkfalb,Black-footed Albatross
blktur,Black Turnstone
reccar,Red-crested Cardinal
redjun,Red Junglefowl
gragoo,Graylag Goose
budger,Budgerigar
helgui,Helmeted Guineafowl
swagoo1,Swan Goose
chemun,Chestnut Munia
fislov1,Fischer's Lovebird
cockat,Cockatiel
yeclov,Yellow-collared Lovebird
commyn,Common Myna
eurgol,European Goldfinch
manduc,Mandarin Duck
javspa,Java Sparrow
wooduc,Wood Duck
compea,Indian Peafowl
rinphe1,Ring-necked Pheasant
yehbla2,Yellow-hooded Blackbird
yunwoo1,Yungas Long-tailed Woodcreeper (undescribed form)
x00868,Golden-fronted x Spectacled Redstart (hybrid)
mdxmal1,Muscovy Duck x Mallard (hybrid)
x00383,Buff-tailed x Velvet-purple Coronet (hybrid)
turdus1,Turdus sp.
dove1,pigeon/dove sp.
woodcr1,woodcreeper sp.
passer1,passerine sp.
frigat,frigatebird sp.
swift1,swift sp.
accipi,Accipitrine hawk sp. (former Accipiter sp.)
hermit1,hermit sp.
larmac1,large macaw sp.
larus,gull sp.
sporop1,Sporophila sp.
euphon1,euphonia sp.
hummin,hummingbird sp.
flycat1,new world flycatcher sp.
heron1,heron sp.
swallo,swallow sp.
pionus1,Pionus sp.
aracar1,aracari sp.
y00792,Scarlet/Red-and-green Macaw
woopew,Western/Eastern Wood-Pewee
parrot,parrot sp.
woodpe1,woodpecker sp.
reevir,Red-eyed/Chivi Vireo
bird1,bird sp.
elaeni1,elaenia sp. (genus Elaenia)
duck1,duck sp.
shoreb1,shorebird sp.
phalar,phalarope sp.
galfin1,galapagos finch sp.
patagi1,Patagioenas sp.
woodst1,woodstar sp.
oropen1,oropendola sp.
newtro1,new world trogon sp.
y00927,White-edged/Yellow-tailed Oriole
y00925,Summer/Scarlet Tanager
stormp2,storm-petrel sp. (white-rumped)
y00798,Rusty-margined/Social Flycatcher
violet1,violetear sp.
y00476,Lesser/Greater Yellowlegs
y00496,Western/Semipalmated Sandpiper
stopet,storm-petrel sp.
caciqu1,cacique sp.
y00498,Smooth-billed/Groove-billed Ani
diurap1,diurnal raptor sp.
tanage,tanager sp. (Thraupidae sp.)
bawbec1,Black-and-white/Cryptic Becard
amazon,amazon sp.
tinamo1,tinamou sp.
smaswi1,small swift sp.
finch1,finch sp.
y00684,Black-tailed/Green-tailed Trainbearer
brotog1,Brotogeris sp.
y00635,Red/Red-necked Phalarope
whiegr1,white egret sp.
hawk,hawk sp.
myiopa1,elaenia sp. (genus Myiopagis)
metalt1,metaltail sp.
wren1,wren sp.
nightj1,nightjar sp.
pewee1,pewee sp. (Contopus sp.)
y00857,Common Squirrel-Cuckoo/Black-bellied Cuckoo
owl1,owl sp.
tern1,tern sp.
pelica1,pelican sp.
manaki1,manakin sp.
chaetu,Chaetura sp.
y00474,Masked/Nazca Booby
parake,parakeet sp.
lartou1,large toucan sp.
flower1,flowerpiercer sp.
calidr1,Calidris sp.
y01203,Tumbesian/Marañon Tyrannulet
myiarc,Myiarchus sp.
foliag1,foliage-gleaner sp.
cypsel1,Cypseloides sp.
plover2,plover sp.
thrush1,thrush sp.
tapacu1,tapaculo sp.
calidr,peep sp.
leptot1,Leptotila sp.
empido,Empidonax sp.
cinclo1,cinclodes sp.
buteo,Buteo sp.
becard1,becard sp.
whimbr,Hudsonian/Eurasian Whimbrel
motmot1,motmot sp.
dowitc,Short-billed/Long-billed Dowitcher
sterna,Sterna sp.
vultur1,new world vulture sp.
yelwar,Northern/Mangrove Yellow Warbler
y00715,Black/Markham's Storm-Petrel
tityra1,tityra sp.
smafal,small falcon sp.
falcon,falcon sp.
y00685,Laughing/Franklin's Gull
rail1,rail/crake sp.
y00317,Common/Arctic Tern
bawcin1,bar-winged cinclodes sp.
y00787,Golden-headed/Crested Quetzal
scytal1,Scytalopus sp.
y00771,Striated/Green Heron
spinet1,spinetail sp.
chloro1,chlorospingus sp.
vireo1,vireo sp.
myiobi1,Myiobius sp.
cryptu1,Crypturellus sp.
xenops1,xenops sp.
forest1,forest-falcon sp.
larter1,large tern sp.
booby1,booby sp.
saltat1,saltator sp.
blucot2,blue cotinga sp.
teal,teal sp.
antshr1,antshrike sp.
cathar1,Cathartes sp.
nighth1,nighthawk sp.
shearw,shearwater sp.
dacnis1,dacnis sp.
conebi1,conebill sp.
epinec1,stipplethroat sp.
antwre1,antwren sp.
greenl1,greenlet sp.
antbir1,antbird sp.
horner1,hornero sp.
myrmot1,Myrmotherula sp.
martin1,new world martin sp. (Progne sp.)
thamno1,Thamnophilus sp.
gerano1,Geranoaetus sp.
y00324,Alder/Willow Flycatcher (Traill's Flycatcher)
kingfi1,kingfisher sp.
blackb,blackbird sp.
y00924,Hepatic/Summer Tanager
y00607,Streaked/Sulphur-bellied Flycatcher
jaeger,jaeger sp.
spinus1,Spinus sp.
y00699,Lesson's/Lined Seedeater
curass1,curassow sp.
aulaco1,Aulacorhynchus sp.
atlape1,Atlapetes sp.
relpar,Red-lored/Lilacine Amazon
tigerh1,tiger-heron sp.
geotry1,quail-dove sp.
campep1,Campephilus sp.
piculu1,Piculus sp.
sparro1,new world sparrow sp.
tringa1,Tringa sp.
y00316,Elegant/Royal Tern
catame1,Catamenia sp.
oriole,new world oriole sp.
y00689,Barred/Lined Forest-Falcon
tolmom1,Tolmomyias sp.
leafto1,leaftosser sp.
xiphor1,Xiphorhynchus sp.
domgoo1,Domestic goose sp. (Domestic type)
thraup3,Thraupidae sp.
snipe2,snipe sp.
woodqu1,wood-quail sp.
dabduc1,dabbling duck sp.
y00661,Little/Least Tern
thraup1,Thraupis sp.
columb1,Columba sp.
y00772,Mississippi/Plumbeous Kite
penelo1,Penelope sp.
larus1,Larus sp.
charad2,Charadrius/Thinornis sp.
stilpn1,Stilpnia sp.
cracid1,Cracidae sp.
phyllo3,Phyllomyias sp.
y00786,thorntail/coquette sp.
y00610,Yellow-crowned/Black-crowned Night Heron
buteog1,Buteogallus sp.
ibis1,ibis sp.
yebfly1,Olive-faced/Ochre-lored Flatbill
warble,new world warbler sp.
scythe1,scythebill sp.
y00834,Great Blue/Cocoi Heron
zimmer1,Zimmerius sp.
y00320,ground dove/Inca Dove
tangar1,small tanager sp. (former Tangara sp.)
larswi1,large swift sp.
celeus1,Celeus sp.
furnar1,furnariid sp.
moctyr1,Nesotriccus sp.
smaplo1,small plover sp.
strix1,Strix sp.
automo1,Automolus sp.
pipreo1,Pipreola sp.
chaeto1,Chaetocercus sp.
screec1,screech-owl sp.
y00945,Common/Great Black Hawk
whistl1,whistling-duck sp.
larsho1,large shorebird sp.
golplo,golden-plover sp.
potoo1,potoo sp.
y00738,Slender-billed/Streaked Xenops
pyrrhu1,Pyrrhura sp.
y00395,pygmy-owl/saw-whet owl sp.
y01126,Yellow-throated/Short-billed Chlorospingus
canast1,canastero sp.
larfal,large falcon sp.
tyrann1,Tyrannus sp.
noddy,Brown/Black Noddy
thalas1,Thalasseus sp.
newpic1,new world piculet sp.
tangar2,Tangara/Stilpnia sp.
gnatca1,gnatcatcher sp.
pterod,Pterodroma sp.
jacama1,jacamar sp.
pheuct1,Pheucticus sp.
hemitr1,Hemitriccus sp.
masyel1,masked yellowthroat sp.
y01068,Blue-black/Amazonian Grosbeak
ardea1,Ardea sp.
cinnyc1,Cinnycerthia sp.
diving1,diving-petrel sp.
grebe1,grebe sp.
yellow7,yellowthroat sp.
y00781,Plumbeous/Ruddy Pigeon
dendro3,Setophaga sp.
mionec1,Mionectes sp.
synall1,Synallaxis sp.
coccyz1,Coccyzus sp.
y00891,Rufous-browed/Black-billed Peppershrike
smatou1,small toucan sp.
tinamu1,Tinamus sp.
glauci1,Glaucidium sp.
y01145,Red-eyed/Yellow-green Vireo
bawshe1,small shearwater sp.
procel1,Procellaria sp.
cuckoo3,cuckoo sp. (Cuculidae sp.)
myiobo1,Myioborus sp.
forpus1,Forpus sp.
dryoco1,Dryocopus sp.
sierra1,sierra finch sp.
ixothr1,Ixothraupis sp. (speckled tanager sp.)
shrike1,shrike-tyrant sp.
y00862,Sparkling/Lesser Violetear
gyhbut1,Pink-billed/Black-billed Cnemoscopus
y00745,Purple/Southern Martin
todiro1,Todirostrum sp.
btpgua1,Blue-throated/White-throated Piping-Guan
woodwr1,wood-wren sp.
cathus,Catharus sp.
y00481,Long-tailed/Parasitic Jaeger
phoebe1,phoebe sp.
y00679,Campephilus sp./Lineated Woodpecker
jay1,jay sp.
asio1,Asio sp.
ground1,ground-tyrant sp.
y00479,Parasitic/Pomarine Jaeger
warant1,warbling-antbird sp.
y00939,Leach's/Townsend's/Ainley's Storm-Petrel
basile1,Basileuterus sp.
warvir,Eastern/Western Warbling Vireo
psitta2,Psittacara sp.
coopet1,Cookilaria petrel sp.
coot1,coot sp.
aratin,large parakeet sp. (former Aratinga sp.)
y00494,Black-bellied Plover/golden-plover sp.
procel2,procellariid sp.
y00796,Streak-necked/Olive-striped Flycatcher
gryhaw1,Gray/Gray-lined Hawk
yebkin2,yellow-bellied kingbird sp.
shbfin1,stripe-headed brushfinch sp.
ciccab1,neotropical Strix sp.
y00472,Galapagos/Hawaiian Petrel (Dark-rumped Petrel)
y00222,American/Pacific Golden-Plover (Lesser Golden-Plover)
plegad,Glossy/White-faced Ibis
strept2,Streptoprocne sp.
y00740,White-throated/Tropical Kingbird
pirang1,tanager sp. (Piranga sp.)
albatr1,albatross sp.
y00872,Barred/Plumbeous Forest-Falcon
stormp1,storm-petrel sp. (dark-rumped)
phyllo2,Phylloscartes sp.
philyd1,Philydor sp.
y00627,Bay-breasted/Blackpoll Warbler
antthr1,antthrush sp.
geospi1,Geospiza sp.
chatty1,chat-tyrant sp.
gralla1,Grallaria sp.
pheugo1,Pheugopedius sp.
y00698,Hooded/Olivaceous Siskin
y00321,Chimney/Vaux's Swift
myioth1,Myiothlypis sp.
pulsat1,Pulsatrix sp.
trokin4,Tropical Kingbird (South American)
flftan3,Flame-faced Tanager (Yellow-faced)
rucspa6,Rufous-collared Sparrow (Rufous-collared)
flrtan3,Flame-rumped Tanager (Lemon-rumped)
paltan3,Palm Tanager (Violaceous)
goltan4,Golden Tanager (aurulenta Group)
thswar6,Three-striped Warbler (daedalus)
tropar9,Tropical Parula (South American)
gontan2,Golden-naped Tanager (Golden-naped)
ruthum2,Rufous-tailed Hummingbird (Rufous-tailed)
brwhaw1,Broad-winged Hawk (Northern)
bncvir13,Brown-capped Vireo (Southern)
stbwoo7,Strong-billed Woodcreeper (Andean/Northern)
gybwow8,Gray-breasted Wood-Wren (Andean)
chcbrf1,Chestnut-capped Brushfinch (Chestnut-capped)
whwbrf1,White-winged Brushfinch (White-winged)
bawswa3,Blue-and-white Swallow (cyanoleuca)
buwmot1,Blue-winged Mountain Tanager (Blue-winged)
ornfly2,Ornate Flycatcher (Western)
sohwre5,Southern House Wren (North Andean)
gncwoo1,Crowned Woodnymph (Green-crowned)
sunbit5,Sunbittern (Northern)
spowoo3,Spotted Woodcreeper (Berlepsch's)
sctfog2,Scaly-throated Foliage-gleaner (Spot-breasted)
whtdov2,White-tipped Dove (decolor)
gnbman2,Black-throated Mango (Ecuadorian)
colara5,Pale-mandibled Aracari (Pale-billed)
goowoo4,Golden-olive Woodpecker (rubripileus)
comtof2,Common Tody-Flycatcher (sclateri)
yercac3,Yellow-rumped Cacique (Western)
bugtan1,Blue-gray Tanager (Blue-gray)
banana5,Bananaquit (Continental)

rudpig2,Ruddy Pigeon (Berlepsch's)
gyrswi4,Gray-rumped Swift (occidentalis)
hobkit1,Hook-billed Kite (Hook-billed)
roahaw3,Roadside Hawk (Northern)
brbmot2,Broad-billed Motmot (Broad-billed)
linwoo8,Lineated Woodpecker (Dusky-winged)
buhpar1,Blue-headed Parrot (Blue-headed)
rusant2,Russet Antshrike (Tawny)
dowant3,Dot-winged Antwren (Boucard's)
chbant4,Chestnut-backed Antbird (Short-tailed)
plbwoo2,Plain-brown Woodcreeper (Plain-brown)
webwoo2,Wedge-billed Woodcreeper (pectoralis Group)
norbaw1,Northern Barred-Woodcreeper (Western)
soubet17,Southern Beardless-Tyrannulet (Peruvian)
sohtyr2,Sooty-headed Tyrannulet (griseiceps)
bobfly4,Boat-billed Flycatcher (Tumbes)
lesgre3,Lesser Greenlet (Gray-headed)
baywre3,Bay Wren (South American)
orbspa2,Orange-billed Sparrow (aurantiirostris Group)
scrcac3,Scarlet-rumped Cacique (Pacific)
bahtan2,Bay-headed Tanager (Bay-and-blue)
saffin1,Saffron Finch (Saffron)
varsee4,Variable Seedeater (Variable)

squcuc5,Common Squirrel-Cuckoo (nigricrissa)
whtcra2,White-throated Crake (Rufous-faced)
chmtou1,Yellow-throated Toucan (Chestnut-mandibled)
matpar4,Maroon-tailed Parakeet (Choco)
immant4,Zeledon's Antbird (Choco)
scaant8,Scaled Antpitta (regulus/carmelitae)
slcfly4,Slaty-capped Flycatcher (transandinus)
bropyt1,Bronze-olive Pygmy-Tyrant (annectens/berlepschi)
ducfly5,Dusky-capped Flycatcher (nigriceps/atriceps)
scbwre3,Scaly-breasted Wren (Scaly)
gybwow2,Gray-breasted Wood-Wren (Choco)
andsol2,Andean Solitaire (plumbeiceps)
swathr2,Swainson's Thrush (Olive-backed)
yetbut2,Yellow-throated Chlorospingus (Yellow-throated)
olcyel3,Olive-crowned Yellowthroat (Olive-crowned)
slcshv1,Slaty-capped Shrike-Vireo (Pale-legged)
